Code,Name,number_of_flights_departing
BRD,"Brainerd, MN: Brainerd Lakes Regional",596
CGI,"Cape Girardeau, MO: Cape Girardeau Regional",595
INL,"International Falls, MN: Falls International Einarson Field",595
APN,"Alpena, MI: Alpena County Regional",594
HIB,"Hibbing, MN: Range Regional",593
ESC,"Escanaba, MI: Delta County",591
LAR,"Laramie, WY: Laramie Regional",587
LBL,"Liberal, KS: Liberal Mid-America Regional",587
DVL,"Devils Lake, ND: Devils Lake Regional",586
GCC,"Gillette, WY: Gillette Campbell County",584
VEL,"Vernal, UT: Vernal Regional",584
LWB,"Lewisburg, WV: Greenbrier Valley",569
BQN,"Aguadilla, PR: Rafael Hernandez",562
SWO,"Stillwater, OK: Stillwater Regional",562
EKO,"Elko, NV: Elko Regional",555
IAG,"Niagara Falls, NY: Niagara Falls International",549
RKS,"Rock Springs, WY: Southwest Wyoming Regional",540
DDC,"Dodge City, KS: Dodge City Regional",511
BET,"Bethel, AK: Bethel Airport",502
ADQ,"Kodiak, AK: Kodiak Airport",495
ACK,"Nantucket, MA: Nantucket Memorial",487
RIW,"Riverton/Lander, WY: Riverton Regional",487
DBQ,"Dubuque, IA: Dubuque Regional",482
DEC,"Decatur, IL: Decatur Airport",477
SHR,"Sheridan, WY: Sheridan County",465
ALO,"Waterloo, IA: Waterloo Regional",463
DIK,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",457
BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",447
DRT,"Del Rio, TX: Del Rio International",441
BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",429
PQI,"Presque Isle/Houlton, ME: Presque Isle International",423
CDC,"Cedar City, UT: Cedar City Regional",411
OME,"Nome, AK: Nome Airport",411
OTZ,"Kotzebue, AK: Ralph Wien Memorial",411
HOB,"Hobbs, NM: Lea County Regional",395
HVN,"New Haven, CT: Tweed New Haven",383
JHM,"Kapalua, HI: Kapalua Airport",348
IPT,"Williamsport, PA: Williamsport Regional",318
OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional",316
MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport",307
PSM,"Portsmouth, NH: Portsmouth International at Pease",306
AKN,"King Salmon, AK: King Salmon Airport",280
MMH,"Mammoth Lakes, CA: Mammoth Lakes Airport",270
SPN,"Saipan, TT: Francisco C. Ada Saipan International",231
WYS,"West Yellowstone, MT: Yellowstone",230
DLG,"Dillingham, AK: Dillingham Airport",213
PSE,"Ponce, PR: Mercedita",180
HGR,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field",175
SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",158
CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",147
STC,"St. Cloud, MN: St. Cloud Regional",141
CDB,"Cold Bay, AK: Cold Bay Airport",132
ADK,"Adak Island, AK: Adak",105
ALS,"Alamosa, CO: San Luis Valley Regional/Bergman Field",104
OGD,"Ogden, UT: Ogden-Hinckley",99
OWB,"Owensboro, KY: Owensboro Daviess County Regional",99
VCT,"Victoria, TX: Victoria Regional",89
GST,"Gustavus, AK: Gustavus Airport",82
BKG,"Branson, MO: Branson Airport",64
JST,"Johnstown, PA: John Murtha Johnstown-Cambria County",50
BFM,"Mobile, AL: Mobile Downtown",47
PPG,"Pago Pago, TT: Pago Pago International",26
HYA,"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field",22
UIN,"Quincy, IL: Quincy Regional-Baldwin Field",10
